City,Location_Type,Area_sqft,Bedrooms,Bathrooms,Age_years,Distance_from_City_km,Garage,Price_INR
Chennai,Near School,3674,4,1,13,14,0,12151979
Kolkata,Near Highway,1360,2,2,18,2,0,4263921
Pune,City Center,1794,2,2,25,29,0,6073559
Kolkata,Near Highway,1630,3,1,33,4,0,5463218
Hyderabad,City Center,1595,2,1,12,17,0,5369522
Delhi,Rural,3592,3,2,36,3,1,11704291
Kolkata,Suburb,2138,4,2,4,13,1,7916755
Chennai,Suburb,2669,1,2,5,9,0,8476046
Ahmedabad,Near Highway,966,1,2,37,7,0,2809456
Hyderabad,Suburb,1738,4,1,8,15,0,5839814
Bangalore,Near Highway,830,1,2,28,23,0,2177279
Kolkata,Near Highway,1982,4,1,31,29,1,6256434
Bangalore,Near Highway,2635,4,2,9,29,0,8989407
Delhi,Suburb,3944,4,2,29,11,0,12527991
Chennai,Near Highway,3671,1,2,14,20,0,11110913
Chennai,Suburb,3419,3,2,22,2,0,11197042
Kolkata,Near Highway,630,4,2,11,15,1,2933821
Hyderabad,Near School,2185,2,1,23,14,0,6388555
Hyderabad,Near Highway,3880,1,1,1,20,0,12032667
Chennai,City Center,1269,4,2,37,22,1,4968280
Hyderabad,Near Highway,2891,4,2,21,11,1,10071799
Chennai,Rural,2015,2,1,26,27,1,6176806
Kolkata,Near Highway,3985,3,2,36,3,0,12868097
Pune,City Center,3353,3,2,23,17,0,10625719
Chennai,City Center,2933,3,1,1,12,1,9712819
Bangalore,Suburb,1715,4,2,15,24,1,6244924
Hyderabad,Near School,1455,4,2,21,28,1,5914430
Chennai,Near Highway,2824,4,1,9,29,1,9055803
Chennai,Suburb,1684,1,1,9,21,1,5439548
Kolkata,Near School,959,2,1,10,15,1,3930135
Hyderabad,Near Highway,3885,4,2,26,16,0,12722744
Pune,Rural,521,2,1,35,5,0,1986736
Kolkata,Near Highway,2800,2,1,25,27,0,8542742
Pune,City Center,1247,3,1,26,20,1,4630539
Ahmedabad,City Center,3404,1,1,11,6,1,10948802
Kolkata,Rural,974,4,1,38,19,1,3442404
Hyderabad,Suburb,1582,3,1,2,25,1,5793249
Mumbai,Near School,3058,3,2,7,5,1,10081523
Hyderabad,Near Highway,2547,4,2,18,3,1,8363297
Hyderabad,City Center,3247,2,1,27,27,0,10174443
Pune,Suburb,1475,3,1,34,1,0,4839346
Pune,Rural,2306,2,1,27,26,1,6988234
Hyderabad,City Center,689,1,2,17,28,0,2325302
Hyderabad,Rural,3505,2,2,24,6,1,11512454
Hyderabad,Near Highway,3234,1,2,25,15,0,10306242
Pune,Near School,3505,2,2,7,2,1,11815765
Hyderabad,City Center,1062,3,2,6,29,1,3859570
Hyderabad,City Center,2399,3,2,24,3,0,8125152
Ahmedabad,Near Highway,1767,1,2,33,17,0,5683552
Delhi,Suburb,3379,4,2,29,25,1,11131733
Mumbai,Near School,2028,1,2,22,24,1,6970271
Bangalore,City Center,3702,1,1,26,12,0,10920996
Mumbai,Near School,1146,2,1,28,18,0,3459383
Delhi,City Center,2568,2,1,21,15,1,8163145
Bangalore,Near School,3388,1,1,7,12,0,10616847
Kolkata,Rural,2714,3,2,17,16,1,9103603
Hyderabad,City Center,1797,2,2,20,27,1,6171863
Delhi,Near School,2935,4,1,20,8,1,9822365
Ahmedabad,Suburb,1100,2,2,22,28,1,4059328
Kolkata,Rural,2863,2,1,28,14,0,8437510
Hyderabad,Rural,2561,4,2,7,25,0,8267587
Pune,Suburb,741,1,1,1,17,0,2508032
Chennai,Near School,2541,4,2,32,29,0,8497180
Delhi,Near Highway,3324,1,2,13,21,0,10172633
Pune,Suburb,3917,1,1,30,8,0,12185573
Delhi,Near School,3112,1,2,23,15,0,9859791
Ahmedabad,Suburb,3445,4,1,19,27,1,11435159
Delhi,Suburb,1863,1,1,32,14,0,5409890
Pune,City Center,2639,3,1,30,18,0,8526122
Ahmedabad,Near School,1890,4,1,29,20,1,6675194
Bangalore,Near Highway,3503,3,2,29,7,0,10785260
Mumbai,City Center,1978,1,2,30,3,0,6364219
Hyderabad,Suburb,3999,2,2,16,29,1,12969881
Delhi,Suburb,3056,1,1,19,12,0,9531034
Hyderabad,Suburb,1275,3,2,18,21,0,4471885
Chennai,Near School,534,3,1,1,24,0,2555525
Pune,Near School,2753,4,2,14,28,1,9309442
Hyderabad,City Center,3652,2,2,2,26,0,11209199
Pune,Near Highway,2455,4,2,28,3,0,8046794
Hyderabad,City Center,2085,3,1,30,20,1,6889585
Mumbai,Rural,3959,1,2,38,14,0,12159722
Mumbai,Suburb,3573,2,2,4,15,1,11785777
Ahmedabad,Suburb,1521,1,1,1,25,1,5514197
Mumbai,Suburb,3961,1,2,8,14,0,12205890
Ahmedabad,City Center,3113,2,1,29,7,1,9747100
Mumbai,City Center,1629,4,2,39,17,1,5427598
Mumbai,Suburb,2000,1,1,3,12,0,6010100
Mumbai,City Center,1202,3,1,32,20,1,4518877
Pune,Near School,2949,1,2,10,4,1,9735521
Delhi,Near School,3277,2,1,10,9,0,10512676
Ahmedabad,City Center,2079,2,1,19,6,0,6200241
Hyderabad,Suburb,661,2,1,34,16,0,2352452
Mumbai,City Center,701,4,1,33,25,1,2551124
Pune,City Center,2481,1,1,23,28,0,7388065
Pune,City Center,1495,4,1,28,22,1,5049923
Pune,Rural,2817,4,2,32,22,1,8929036
Ahmedabad,Near School,1315,2,1,7,21,1,4676066
Delhi,Near Highway,3842,2,1,29,21,1,12426238
Ahmedabad,Near Highway,955,4,2,8,2,1,3829245
Hyderabad,Rural,1775,1,2,1,24,1,6180763
Delhi,City Center,1516,3,2,3,8,1,6161825
Bangalore,Rural,2843,4,2,24,11,0,9036747
Kolkata,Rural,3267,1,2,23,13,0,10429848
Pune,Suburb,837,2,2,8,17,1,3389088
Ahmedabad,Near School,1378,2,2,37,8,1,4511516
Bangalore,Near Highway,1576,1,1,3,21,0,4766660
